CollegeName,CollegeCode,CourseCode,Category,CutoffRank,Location,Year,Round
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,GM,50201,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,GMK,74224,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,GMR,75314,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,SCG,136712,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,SCK,180526,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,SCR,198556,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,STG,140649,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,STK,188634,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,STR,153671,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,1G,107340,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,2AG,103278,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,2AR,110030,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,2BG,98497,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,3AG,92314,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,3BG,95051,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,3BR,103463,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,GM,92293,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,GMK,92655,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,GMR,101907,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,SCG,109723,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,SCR,123965,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,STG,121341,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,STK,145114,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CE Civil,STR,131157,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,1G,13400,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,2AG,14868,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,2AK,18219,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,2AR,16172,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,2BG,16582,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,3AG,12362,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,3BG,11775,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,3BR,13421,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,GM,11659,Bangalore,2023,Round 1
